mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14.986709785461425,0.6689268606984174,1.0009752750396728,0.40445752544187774,15,sqrt,5,15,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5188120909540284,0.5233729610966912,0.5256511471013176,0.5270823353325218,0.5054580968929973,0.5200753262755112,0.007827151557480587,1,0.7751470005325422,0.7720338257205372,0.7706243506793266,0.775917437776196,0.7733251503985373,0.7734095530214279,0.001947578562866673
18.45745210647583,6.427639024906536,5.257318019866943,2.663517422162811,15,sqrt,5,20,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5241679063841426,0.523407114862918,0.5257933318308421,0.5152570951410859,0.5080012716781382,0.5193253439794254,0.006733964554857891,2,0.7482587236276553,0.7463777543926028,0.7499125679136313,0.7543172467030024,0.7515960093837067,0.7500924604041197,0.002731427151901949
28.68390326499939,0.34982009046486834,1.449509572982788,0.10747581291098299,20,sqrt,2,10,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5146933223154551,0.5049501988772058,0.5236855117958191,0.5103309818826086,0.4948768495878591,0.5097073728917896,0.00962509296705835,35,0.8917704963987679,0.8924569801361818,0.8958684043356119,0.8920213446330036,0.8898842978373501,0.8924003046681831,0.0019442986884312613
25.335497331619262,2.4908850683142765,2.209086227416992,1.322913343892825,20,sqrt,2,15,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5157187333037275,0.5093651676506568,0.5275201079447481,0.516369368941581,0.4930974735169267,0.512414170271528,0.011288793352984057,29,0.8434555290298954,0.8404707162608526,0.84336153514786,0.8469829028450159,0.8420566344219252,0.8432654635411099,0.0021511201650196233
25.678180027008057,0.30847013110886573,1.0069722652435302,0.08230707215092278,20,sqrt,2,20,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5203209631536991,0.5195913236579334,0.5227986148729453,0.5150436806612569,0.501870421369527,0.5159250007430723,0.0074608432082703124,12,0.8097567119819497,0.8002658435208597,0.8056494682352054,0.8088891037602846,0.8052785115748414,0.8059679278146282,0.003346001521836953
21.043828201293945,5.530708900376465,2.9677061557769777,1.8608545726348351,20,sqrt,3,10,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5173641476987647,0.5071508229685349,0.5225247081908972,0.5188288832421948,0.4953670137150162,0.5122471151630815,0.009859438427142347,30,0.876504619795476,0.87684029048668,0.8795495144578345,0.8803041783542769,0.875102061557011,0.8776601329302556,0.0019550867064452118
18.1929621219635,3.0903157834972466,4.959029960632324,0.32831394801996744,20,sqrt,3,15,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5144166162013403,0.513791659294112,0.5226743248319577,0.5180144588911716,0.497391220158183,0.513257655875353,0.008540175176483577,26,0.8338520997776563,0.8299572348041014,0.8333784627780533,0.8346831995255295,0.8330247484566898,0.8329791490684061,0.0016099271700878192
20.453560447692873,2.8565777933551857,4.314002799987793,0.28724263858935567,20,sqrt,3,20,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5170892144530326,0.5183388585427181,0.5269603715503418,0.5218514198911829,0.5018765406884699,0.5172232810251491,0.008402565409016604,6,0.7991120534144275,0.7936567733591177,0.7986084527276857,0.801627430959614,0.796952316319874,0.7979914053561438,0.002635375582086597
23.98275966644287,2.2683898789455057,3.6876532077789306,0.35408011085809116,20,sqrt,4,10,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5124769202484667,0.5096296142513108,0.519742186934377,0.5090547540049908,0.49770083908790164,0.5097208629054094,0.007112746126909484,34,0.8626108843430099,0.8576776441401716,0.8646082968330657,0.860491213543131,0.8599673858991007,0.8610710849516957,0.002364431984629056
23.387462282180785,1.4574392617524288,4.0170434474945065,0.18194218940916707,20,sqrt,4,15,200,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.513135185809907,0.5221727232403565,0.5214476053125696,0.5175676052687074,0.5005739513943056,0.5149794142051692,0.007889213664593003,17,0.8226739741045451,0.8184549542710929,0.8221909999481539,0.8215027346301107,0.8219170255215952,0.8213479376950996,0.001495747482607396
